-661 20
210 -140
259 -56
957 700
-519 -208
245 54
-706 -224
-1070 -808
-21 -28
-1674 -1278
-117 142
-698 -717
-318 -229
165 92
798 -10
-195 -194
230 1
-177 -186
-288 -90
-222 -241
-104 211
-632 -68
-370 103
-1266 -668
405 -120
-1270 -313
-7 -27
-1688 -1013
-814 45
-120 96
-727 -284
-448 -173
-608 -630
85 -19
-670 294
-329 -328
239 49
143 -2
-717 -336
-573 -253
-391 -398
-140 51
85 33
221 -73
-963 -929
10 17
131 -39
838 -504
-471 -249
-443 250
87 -10
-402 -426
868 -85
-271 -286
-633 87
48 50
594 -149
411 17
-81 41
-419 92
125 -49
323 -35
131 -6
821 11
363 108
-891 -327
-1338 -328
-212 255
382 -141
135 -39
567 -33
-556 -582
-141 -145
17 23
-547 -565
367 -126
-147 -35
237 25
-726 -472
379 -56
419 -230
-118 148
-853 -655
-398 -40
-185 145
-1050 -203
-676 -423
-1115 -215
-873 -602
-534 -498
481 63
-267 -152
536 -7
404 -39
-977 -151
732 -72
-1010 -565
464 -173
-613 -128
-318 -320
-144 -149
141 -41
-910 -507
-814 -398
231 73
618 302
-380 650
-286 -207
-103 80
-139 -103
-1006 274
-124 -68
-195 -154
-115 166
-942 75
-416 -435
-530 -40
395 -33
-486 29
239 41
121 -70
-555 -413
201 -198
-376 -50
-366 -380
-416 -43
-204 125
-301 -164
-388 -312
64 -61
-195 135
-265 -259
279 -138
-143 213
-365 -364
-431 -282
902 129
-616 -591
264 35
-188 239
-167 19
-225 -242
-517 -318
654 -91
-431 -171
-559 -404
-853 -478
212 -161
-716 -719
-708 -223
350 -190
-1152 -954
-498 -513
333 -18
-1169 -719
574 -209
779 320
-547 343
-298 78
125 -87
-594 -417
-494 -369
30 -3
-453 -154
-949 -700
-106 -104
-154 38
332 -178
311 234
-830 -475
-138 -4
-18 -23
-557 -368
620 102
101 -31
-160 187
-239 30
118 -110
-238 -237
370 242
288 -69
-438 -69
-612 -334
309 -37
-610 -613
-568 -414
-1182 -1189
-169 -170
-450 416
238 4
-544 -351
-358 -371
-844 262
-765 108
77 39
-320 -330
301 -169
-631 -633
-341 -321
-454 -369
-67 144
870 -44
-549 293
-677 -577
-900 -626
-19 91
-231 -255
718 150
-295 -171
-373 -395
-594 -336
505 -9
-1595 -750
986 83
-278 206
-22 -21
-323 39
-914 -405
-901 33
181 73
-342 -166
-435 -225
-97 216
887 -102
217 -42
181 -111
-439 433
-96 243
-514 100
874 -225
-22 -41
832 -178
-96 108
816 -134
-236 -91
306 -95
-697 -703
-646 -318
520 67
-1805 -1065
-280 -73
-378 -407
-129 6
-274 -265
-883 -156
-610 -240
-789 -802
231 -73
-452 -470
-1014 -1001
-671 -352
-179 -63
-643 202
280 -168
19 36
-447 -93
-322 -337
-893 -769
-2053 -1514
539 11
-420 -439
200 39
968 32
-731 -39
-1276 -1232
-1150 -621
-560 -488
1078 -313
-463 39
-371 422
-405 405
-570 263
118 26
270 -18
-159 -51
-212 -63
-672 -402
-792 324
-2100 -827
-854 -591
-22 -23
-538 -345
-457 -224
-521 -120
-420 323
423 -57
373 -218
-579 -125
-118 4
804 403
-732 -44
148 96
-105 -126
-342 -256
-263 55
-257 142
-92 193
-144 259
-518 -193
166 -105
-171 -152
23 -10
-20 -29
-18 -30
-278 -207
-215 93
-778 -210
318 -204
-262 -32
-779 -154
190 -181
-148 184
589 52
-519 -215
366 -33
-624 -278
-306 418
-159 -74
-569 -163
-672 -583
-549 594
247 -162
-607 170
263 -104
723 -36
-794 -811
-175 -188
219 -21
-896 -752
-9 -33
-153 -155
-375 -388
-409 -148
-658 -628
1374 272
182 -145
266 -121
-586 -577
-836 -203
-1080 -1101
-1168 -773
91 -92
-872 -667
-440 -236
-353 -64
-189 372
584 56
-1074 -658
101 65
-338 -284
-476 -416
230 -117
-747 -251
231 -16
189 -52
183 -55
-402 -217
-1436 -1439
-1390 -845
-537 -169
376 -73
45 -36
349 -204
-964 -992
-317 -346
-929 -865
-258 -283
-746 -699
-428 -211
-700 -559
-583 -248
-614 -607
112 -103
-282 -57
-67 -56
-175 185
-1035 -955
-254 -253
367 -225
677 7
1212 -752
-679 -311
-589 -379
-515 -124
-1517 -1125
-596 76
-7 -8
115 9
-1037 -520
505 -21
-358 -266
-721 -414
-510 787
-371 -290
-1233 -1184
1069 565
-169 246
-633 -275
-519 -452
-430 328
139 -7
-278 25
27 -11
659 -72
-260 -110
-518 -345
-812 -568
-116 256
-314 -303
132 47
-283 26
-258 289
67 29
226 -101
-556 188
-842 -473
-774 -369
-176 -138
-550 -172
-366 301
740 67
363 100
-1552 -1197
-94 -36
-826 -535
-173 161
-674 -537
112 32
313 -209
900 -121
426 140
339 275
567 128
-856 -591
40 13
175 -125
-54 105
1514 -96
418 -8
-1154 -348
-160 152
-713 -466
214 -152
-939 -271
-578 -370
-984 -844
5 25
-77 -99
797 -52
-1197 -1139
-1022 -721
53 -28
-183 -197
638 -494
-142 -159
525 -160
-760 -219
-171 -61
-386 188
-153 -68
1192 138
1008 -139
241 -14
-313 -316
759 -379
-815 -741
336 106
494 -28
-1080 -192
-366 -239
-47 119
-963 -972
320 -2
-313 -197
-15 56
-42 57
-941 -554
-239 82
-977 -849
704 -131
72 23
634 -217
-306 -254
-681 -125
465 71
-228 -184
-61 -89
569 26
389 -173
617 220
-963 -473
263 -12
265 -58
118 -12
930 -521
787 76
-143 -151
-425 -428
-870 -448
-812 -809
-432 117
-756 -621
-502 -379
-805 -221
282 76
-355 -352
-527 -543
-451 -464
-220 257
-110 60
-920 -363
176 123
-790 -386
382 -153
-654 -251
753 -29
-451 -455
-315 107
-709 -409
-272 -122
515 94
-53 156
-230 -258
-252 -282
-366 406
-545 -77
-120 -136
-711 -491
248 136
-396 -414
-494 -285
-955 -744
-960 -720
-318 263
-27 -32
-530 -308
-293 -44
102 -62
-795 -60
-510 -514
-883 -479
-524 -535
-1036 -898
-583 -594
-841 -229
-389 -405
-97 121
-112 14
-65 -81
-623 -400
-1285 -905
345 29
-794 -788
-531 273
471 267
47 9
-919 -446
-719 -635
825 -104
393 203
346 -22
891 93
200 57
-614 -621
-752 -768
383 -11
668 -158
-108 132
470 -44
-72 54
422 -241
-218 -140
-1224 -689
-860 -718
-397 -282
-774 -775
-434 -318
-730 -415
1000 342
-633 -116
-451 473
163 -84
10 7
371 -82
-547 -554
-601 -587
178 -79
-215 5
-172 -201
-609 -585
-354 -52
-100 -131
439 -156
-328 -74
-159 9
-206 -144
-496 -53
-707 -606
-275 -279
426 248
-1446 -655
75 0
-730 -322
-605 -369
-443 -465
-388 -96
95 -67
211 -119
-476 -245
-230 -234
45 -20
-677 87
-514 -374
-218 245
89 -32
-256 16
-570 -567
-262 423
-254 -54
-542 -541
357 -245
-321 78
-523 -547
69 -2
579 8
-1121 -935
-873 -613
-706 -729
520 -295
72 -38
201 4
-407 239
23 2
-799 -806
-930 472
-282 304
-97 71
-903 -892
114 69
-199 -61
-654 -454
768 481
140 -107
334 -131
-387 54
644 -319
-59 -71
-365 -250
-263 -132
389 -81
170 -28
391 66
329 81
-923 -694
611 -208
239 -126
-73 -89
-287 176
284 -91
-522 633
529 126
-83 -93
-1493 -1317
-979 -799
497 -297
-265 -270
149 72
-167 -52
-121 206
25 -6
-83 146
-247 -265
-759 -762
-87 167
111 35
-32 76
-344 -216
-496 136
-59 84
297 -179
-497 -439
-308 -177
-185 287
-869 232
175 -14
317 -86
166 36
-619 -176
955 -172
-498 -384
-217 42
-187 -185
-302 57
-334 -216
670 -103
132 -26
473 140
-789 -210
431 91
210 6
1268 -556
-649 -651
412 -253
-285 -136
-1018 -607
-668 -266
-231 -235
97 -41
-1101 -1102
-838 -654
-1145 -489
-882 -425
-205 353
-378 101
-1162 -256
1083 -1066
-40 101
-537 -277
-287 -289
5 15
-364 -393
65 5
436 135
195 -19
-110 -43
-822 -158
-788 -558
-172 34
-459 -207
613 -95
-181 -204
-924 -928
-1313 -523
113 -50
37 32
-413 -7
29 -4
190 -47
-226 -184
91 -20
-849 -483
105 24
-496 -398
82 -18
-934 -925
633 -456
-421 -66
-770 -786
-147 -98
-522 256
1031 378
-146 148
-495 -113
-202 -155
467 -224
855 282
257 36
-1361 -1110
-861 -283
-450 -47
-388 -386
370 -207
-421 -294
-849 -865
37 -27
-265 396
-958 238
622 -77
-15 8
-121 130
-880 -894
-656 -133
-534 60
858 352
716 -344
-67 143
-383 480
-987 -428
549 70
455 122
506 340
138 -49
-124 157
458 43
-503 -515
431 264
-1668 -781
-402 -164
-294 -155
-521 -367
-658 -590
-506 -512
-929 -397
-223 -49
-404 -407
-27 -30
253 -89
-4 16
-620 105
313 -101
-681 -263
-272 -191
-216 64
-1193 -639
-476 530
-240 -194
21 18
6 -3
420 -94
-828 -536
