28,28
-15,-31
20,20
-38,-38
20,20
12,12
-15,-15
14,14
-1,-1
-10,-10
-40,-40
37,37
-45,36
22,-22
-12,-12
-19,-19
-4,-4
-49,-49
-3,-3
-17,-17
-11,5
28,28
32,3
-31,-31
48,48
33,11
20,20
25,25
-26,-26
12,113
-8,-8
-21,-21
-43,-43
8,8
12,-13
18,18
32,32
-34,-34
18,87
-11,50
-28,26
25,25
43,47
-40,-40
34,34
29,29
-22,92
31,-47
-13,76
-29,-29
9,9
-20,-20
14,14
16,-2
15,15
44,44
47,47
-28,-28
33,33
-6,-6
-10,-38
-29,-29
25,25
-24,-13
44,44
21,21
23,106
-34,98
10,10
-16,40
-50,-50
40,2
-33,-33
45,45
10,10
-9,29
-7,-7
-17,15
-20,-20
-40,-40
10,10
-17,-17
-47,-6
-24,-24
-32,-32
-31,-31
-49,3
23,23
36,36
49,49
20,20
15,-79
14,14
16,16
24,24
9,9
33,-63
-14,-14
6,6
-40,-40
-31,-31
16,16
43,43
-43,-2
-40,-40
-47,-47
29,29
-42,38
41,41
11,11
-39,-39
-38,-38
16,16
-17,-17
-39,83
33,3
-25,73
-25,14
49,49
-36,-36
22,22
-32,-32
10,-124
-3,-3
-41,-41
34,34
-30,128
34,34
-6,-6
-39,-39
-17,-17
48,48
19,19
44,44
-43,-43
11,11
21,21
-31,-31
44,44
14,14
-8,15
-19,0
-43,83
-21,-21
-25,-93
15,-67
22,22
-37,-37
41,41
27,8
-32,-32
-8,32
-1,-1
15,-15
11,11
43,-65
-10,9
-32,-32
-42,-42
18,18
-48,44
-30,-30
-41,-41
36,42
-20,-20
-9,-9
19,-52
-26,-26
-40,-40
-15,-15
11,11
43,23
-13,-13
15,26
-43,62
41,41
33,33
-42,-42
31,31
-27,-27
41,41
6,6
8,8
24,24
-45,-45
-12,-12
-22,12
-9,-9
-9,-9
-29,63
19,19
30,30
-36,-36
33,33
-43,-43
13,13
40,-47
-47,-47
17,48
-33,-33
48,-46
36,36
31,31
-16,-16
-40,-40
49,49
21,21
28,28
27,27
-14,-14
44,44
-6,-84
-46,-41
46,46
46,46
37,37
-28,-28
35,35
-12,-12
-17,22
-14,-14
-32,-32
47,24
-37,-37
9,9
-50,-50
6,6
-16,-16
-26,-26
-45,37
20,74
36,36
-32,102
31,31
12,12
25,25
35,-37
15,15
13,13
7,7
-12,-57
-31,29
-20,-20
-22,-22
-25,-25
-2,-2
44,44
33,64
30,30
11,58
10,10
29,-22
27,27
-1,-1
28,28
44,44
46,46
-36,-128
38,-67
-43,-43
-2,-2
16,16
47,8
33,33
-23,-23
-8,-8
-14,-14
-32,-53
16,16
29,6
-50,-50
14,14
-29,-29
39,39
44,-38
-22,73
-25,-25
-42,51
-2,-2
-5,-5
-43,-43
-12,19
-16,-16
-17,-17
-25,-25
-37,-37
-50,-73
-36,-36
22,22
-47,-47
-3,36
-25,76
-42,-42
-43,-43
40,40
-20,-20
40,52
24,-50
8,8
-24,-24
33,33
-36,-36
-20,-20
-50,-50
26,26
-49,-49
48,-34
-48,-48
-35,-35
41,41
-15,-15
-23,-23
-27,-27
23,-46
-39,-27
8,8
-27,-81
-32,73
-10,73
32,32
47,23
22,-6
6,-64
39,39
28,28
-6,-6
46,46
46,11
-34,-34
-2,-2
48,4
13,13
-48,-48
30,116
-34,-34
35,35
-29,75
10,10
-2,21
-34,-34
37,-90
-9,-9
-33,83
-43,-43
-28,-28
-42,36
-43,-43
36,36
-5,-55
-22,-22
-7,-7
-12,-12
-6,-1
10,10
-36,-36
-25,54
-41,-74
14,14
-38,-38
-36,70
27,27
-14,-14
44,-63
-33,-33
-17,-17
17,17
26,26
12,12
-15,-15
35,35
47,26
-26,-26
-18,-18
7,7
-1,-1
33,33
-12,-12
-24,-24
36,36
-31,-31
-5,-5
-7,-7
48,48
14,14
-21,-21
24,-12
-34,-84
-4,-4
-29,-29
-36,94
48,-54
-18,-18
23,23
-25,56
43,43
18,18
-47,33
-25,-25
-11,-73
14,14
45,45
21,21
-43,-43
-32,-32
46,46
32,32
7,7
-31,104
-21,-21
-8,-8
-14,-14
30,30
10,10
12,12
8,8
14,14
-5,17
-44,-44
-5,-5
-13,-13
-49,84
-6,15
47,47
-11,-11
-26,-26
-29,-29
38,38
16,16
-48,-48
-43,-43
8,-17
27,27
-48,-48
25,-9
31,-17
47,-14
-20,99
-39,-39
-9,73
26,26
17,17
-21,-21
-1,-1
9,9
-37,-37
27,-9
-17,-17
15,15
37,37
-50,-50
-18,-18
14,14
47,47
-20,-54
-24,-24
-9,-9
-45,-45
-36,-11
13,13
-39,27
41,41
-33,24
35,35
-33,-33
-11,121
-46,-46
-5,-20
-30,51
-20,-20
-38,-38
30,13
31,31
-36,2
40,40
23,23
8,8
30,30
35,35
30,30
48,48
30,30
12,12
-5,-5
20,20
-4,-4
41,41
-2,-2
-18,-122
47,0
-18,-18
-25,-22
-35,92
-33,-13
-3,-3
-5,-5
36,36
17,17
7,35
10,30
-24,-24
-39,-39
47,47
21,21
25,25
30,30
-11,-11
-38,-71
-15,-120
-17,5
38,38
-19,-19
-47,85
-32,-32
-16,78
-25,-25
47,-57
-15,-15
-3,-37
-18,-18
-21,-21
49,49
48,48
24,24
-40,-40
-14,-14
-30,-30
-46,-46
20,-85
19,19
-26,-26
-47,-33
-21,-8
29,29
7,7
8,36
-31,-31
-40,-40
28,28
35,35
46,46
-28,-28
-7,-7
-33,-33
27,-5
-16,-16
27,27
-13,41
25,25
-1,45
-34,-34
16,16
-35,-35
-21,-21
-33,-33
44,114
46,-30
-20,-20
-2,-2
29,29
43,43
-15,-15
14,14
-7,-7
45,-40
-36,-36
29,29
-10,15
-3,-24
-14,-14
41,41
13,47
-18,-18
-36,-36
30,30
15,-12
28,28
-26,-26
18,-127
-14,-14
12,12
11,11
46,46
21,21
28,83
33,33
23,23
13,29
-37,-37
-5,-5
34,-84
39,39
-38,85
-20,-20
45,45
-19,-19
41,-127
-13,-13
-47,-47
-49,-49
-4,-4
-11,-11
-47,-22
37,-94
-40,-40
-48,-48
-41,-41
-36,-36
-23,-53
22,22
42,42
38,38
36,36
35,35
28,28
30,-6
-3,-3
-47,-47
-36,-36
-24,83
-29,-29
-26,-26
-5,45
15,15
46,18
-4,-4
-24,122
-28,67
20,20
39,39
-15,-15
-11,-100
29,29
12,12
-21,-95
7,7
-43,-43
41,41
-20,-20
-1,37
43,43
-32,-32
25,25
-45,-45
8,8
25,25
11,31
28,28
32,32
-10,-10
27,44
-7,-7
34,34
-1,24
40,40
-2,-2
35,5
35,35
-37,-37
-20,-20
30,30
23,-63
48,17
13,-78
19,19
-1,-1
26,-49
-42,-42
-23,-23
26,26
-1,-1
-2,-2
44,44
-46,-46
7,-51
39,-94
23,23
-5,-5
-48,-48
41,11
-36,-36
15,-110
19,19
28,28
-20,177
33,33
31,31
17,17
-24,-24
-6,-6
31,31
34,-34
-3,-3
25,-52
-28,90
-9,-9
-33,101
49,49
17,-37
-31,-7
30,30
9,9
-48,-48
-50,-50
-15,-15
44,-40
-24,-24
37,37
-21,-72
39,39
21,21
-3,56
-50,-50
-10,-10
-49,66
-43,-43
-22,68
-14,44
-40,-40
40,40
-11,-11
-28,-28
48,-1
11,38
-5,-5
37,37
17,17
18,18
39,3
-30,148
21,-14
-36,-36
10,10
-24,-9
9,9
-20,-20
-2,-72
36,36
34,34
36,66
-4,-4
48,71
-47,-47
-14,-14
-5,-5
-20,-20
10,10
-32,42
21,88
15,15
-27,-27
7,-19
-24,-24
-50,-50
-5,-5
44,-29
29,29
-12,-12
43,43
36,-11
-22,-22
37,-30
-21,-21
45,45
-32,-71
13,13
13,13
29,-30
26,-70
39,-80
-49,-49
38,-85
-41,-41
32,32
-31,-31
45,45
12,12
-15,66
48,48
10,-32
47,47
-33,-33
23,23
25,-2
23,23
27,27
30,30
-38,-38
-6,37
-20,2
-30,-30
-6,-6
38,38
-32,-32
20,20
33,33
15,15
40,40
-38,-38
-1,-1
-39,-39
17,17
-44,-44
47,47
-21,89
19,-24
-48,-48
10,10
16,16
-14,-5
36,36
19,-1
